Date,Day_of_the_week,App ,Minutes,Category
8/25,Friday,TIKTOK,87,Social Media
8/25,Friday,SPOTIFY,11,Entertainment
8/25,Friday,INSTAGRAM,11,Social Media
8/25,Friday,MESSAGES,11,Communication
8/25,Friday,PHOTOS,10,Other
8/26,Saturday,MAPS,63,Travel
8/26,Saturday,TIKTOK,63,Social Media
8/26,Saturday,SPOTIFY,45,Entertainment
8/26,Saturday,MESSAGES,34,Communication
8/26,Saturday,INSTAGRAM,17,Social Media
8/26,Saturday,SAFARI,16,Other
8/26,Saturday,GMAIL,11,Communication
8/27,Sunday,TIKTOK,384,Social Media
8/27,Sunday,INSTAGRAM,22,Social Media
8/27,Sunday,FIND MY,20,Other
8/27,Sunday,MESSAGES,16,Communication
8/27,Sunday,SPOTIFY,13,Entertainment
8/28,Monday,TIKTOK,147,Social Media
8/28,Monday,SPOTIFY,33,Entertainment
8/28,Monday,PHOTOS,20,Other
8/28,Monday,INSTAGRAM,15,Social Media
8/28,Monday,CLOCK,14,Other
8/29,Tuesday,TIKTOK,210,Social Media
8/29,Tuesday,SNAPCHAT,70,Social Media
8/29,Tuesday,MESSAGES,22,Communication
8/29,Tuesday,MAIL,20,Communication
8/29,Tuesday,MAPS,16,Travel
8/29,Tuesday,CALCULATOR,15,Education
8/29,Tuesday,NOTES,15,Other
8/29,Tuesday,INSTAGRAM,11,Social Media
8/29,Tuesday,SAFARI,10,Other
8/30,Wednesday,TIKTOK,92,Social Media
8/30,Wednesday,MESSAGES,45,Communication
8/30,Wednesday,SNAPCHAT,40,Social Media
8/30,Wednesday,INSTAGRAM,25,Social Media
8/30,Wednesday,CAMERA,11,Other
8/30,Wednesday,MAIL,11,Communication
8/31,Thursday,TIKTOK,130,Social Media
8/31,Thursday,CALCULATOR,57,Education
8/31,Thursday,SNAPCHAT,46,Social Media
8/31,Thursday,SETTINGS,25,Other
8/31,Thursday,MESSAGES,16,Communication